"Group Name","Project","Person","Status","Due Date","Timeline","Description","Team"
"Operations","OPS: Fix AWS/SAM deploy identity and CloudFormation role model","","Blocked","","","Resolve the known cloudformation CreateChangeSet access blocker so the AWS-native ACE and config API deployment path is usable.","Operations"
"Operations","OPS: Reconcile ACE migration docs with current code and SSOT","","Incoming","","","Align ACE static hosting, config API, and setup docs with the current authoritative code and migration spec.","Operations"
"Operations","OPS: Define Config API MVP vs target-spec gap list","","Incoming","","","Decide which current code and spec differences are intentional MVP tradeoffs versus gaps that should be closed next.","Operations"
"Operations","OPS: CI/CD and pinned snapshot build workflow","","Incoming","","","Formalize repeatable build and deploy flow for S3-published config, snapshot pinning, and reproducible builds.","Operations"
"Operations","OPS: ACE account provisioning for strike teams","","Next Sprint","","","Create a repeatable process for giving each strike team ACE access, publish rights, and environment onboarding.","Operations"
"Operations","OPS: Strike team operating cadence and decision-log templates","","Next Sprint","","","Set up a lightweight cross-team operating model for weekly cadences, roadmap reviews, and architecture and product decision tracking.","Operations"
"EG Strike Force","EG bootstrap: Team charter and RACI","","Next Sprint","","","Define mission, scope, responsibilities, approval model, and ownership boundaries for the Evergreens team.","EG Strike Force"
"EG Strike Force","EG bootstrap: Dev environment and ACE access","","Next Sprint","","","Ensure the Evergreens team can run the plugin, use ACE, validate flows, and access the right configs and docs.","EG Strike Force"
"EG Strike Force","EG bootstrap: Roadmap and rollout plan","","Next Sprint","","","Create the Evergreens roadmap, milestones, release plan, pilot path, and feedback loop.","EG Strike Force"
"EG Strike Force","EG bootstrap: Marketing and resource-site update","","Next Sprint","","","Update Evergreens-specific positioning, screenshots, docs, and public and resource-site content.","EG Strike Force"
"EG Strike Force","EG bootstrap: Meetings and review cadence","","Next Sprint","","","Establish standups, dependency review, demos, and retros for the Evergreens strike team.","EG Strike Force"
"EG Strike Force","PLAN: Evergreens semantic tokenizer","","Next Sprint","","","Advance the Evergreens semantic tokenizer workstream for better content interpretation and structure.","EG Strike Force"
"EG Strike Force","PLAN: Evergreens formatting rule implementation","","Incoming","","","Continue the formatting-rule work for Evergreens so output behavior is more structured and predictable.","EG Strike Force"
"EG Strike Force","PLAN: Evergreens plugin viewport resize UX","","Next Sprint","","","Implement or validate the Evergreens-specific viewport resize UX work already planned in repo docs.","EG Strike Force"
"EG Strike Force","BL-037: Content table manager","","Incoming","","","Extend the admin and editor surface for managing content table models, sync, and editing workflows.","EG Strike Force"
"EG Strike Force","BL-063: Resolve disabled content model placeholders","","Incoming","","","Implement or remove placeholder content models so the Evergreens area no longer exposes dead entries.","EG Strike Force"
"Analytics Strike Force","Analytics bootstrap: Team charter and RACI","","Next Sprint","","","Define mission, scope, decision rights, and ownership boundaries for Analytics Tagging and analytics-facing work.","Analytics Strike Force"
"Analytics Strike Force","Analytics bootstrap: Dev environment and ACE access","","Next Sprint","","","Ensure the Analytics team has plugin, annotation, screenshot and export, and ACE access set up.","Analytics Strike Force"
"Analytics Strike Force","Analytics bootstrap: Roadmap and rollout plan","","Next Sprint","","","Build the Analytics strike team roadmap, release milestones, adoption goals, and validation plan.","Analytics Strike Force"
"Analytics Strike Force","Analytics bootstrap: Marketing and resource-site update","","Next Sprint","","","Update analytics-tagging messaging, docs, screenshots, and resource pages for internal and external usage.","Analytics Strike Force"
"Analytics Strike Force","Analytics bootstrap: Meetings and review cadence","","Next Sprint","","","Set up recurring triage, demo, and dependency sessions for Analytics work.","Analytics Strike Force"
"Analytics Strike Force","BL-011: Analytics Tagging placeholder triage","","Icebox","","","Define the actual scope, acceptance criteria, and backlog split for the existing analytics-tagging placeholder item.","Analytics Strike Force"
"Analytics Strike Force","BL-033: First-party analytics","","Incoming","","","Build a privacy-conscious first-party analytics capability for usage, outcomes, errors, and performance.","Analytics Strike Force"
"Analytics Strike Force","BL-034: ACE analytics dashboard","","Incoming","","","Add dashboards, charts, logs, and adoption and performance reporting to ACE for analytics visibility.","Analytics Strike Force"
"Analytics Strike Force","BL-038: Analytics tag table manager","","Incoming","","","Add registry and rule management for analytics tags in the admin and editor workflow.","Analytics Strike Force"
"Analytics Strike Force","BL-039: Multi-format export for content and analytics tables","","Incoming","","","Support exports across multiple structured formats for analytics and content workflows.","Analytics Strike Force"
"Analytics Strike Force","BL-040: DB-level versioning for content and analytics tables","","Incoming","","","Add history, diff, rollback, attribution, and conflict handling for analytics and content table data.","Analytics Strike Force"
"Analytics Strike Force","PLAN: AT-A auto-annotate","","Next Sprint","","","Implement the planned Add Annotations flow that uses Smart Detector to add placeholder analytics annotations.","Analytics Strike Force"
"Analytics Strike Force","PLAN: AT-A annotation repair","","Next Sprint","","","Implement the planned near-miss detection and one-click annotation repair workflow.","Analytics Strike Force"
"Analytics Strike Force","PLAN: Unified annotations tool planning","","Incoming","","","Consolidate reusable annotation read and write tooling so analytics workflows share a stable foundation.","Analytics Strike Force"
"Prompt↔Design↔Code Strike Force","PDC bootstrap: Team charter and RACI","","Next Sprint","","","Define mission, scope, ownership, and decision rights for Prompt↔Design↔Code work.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","PDC bootstrap: Dev environment and ACE access","","Next Sprint","","","Ensure the team can run plugin, design workshop, code2design, and related flows locally and in ACE.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","PDC bootstrap: Roadmap and rollout plan","","Next Sprint","","","Create roadmap, milestones, pilot path, and release sequencing for prompt-to-design and code initiatives.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","PDC bootstrap: Marketing and resource-site update","","Next Sprint","","","Update Prompt↔Design↔Code pages, demos, screenshots, and resource docs.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","PDC bootstrap: Meetings and review cadence","","Next Sprint","","","Establish team rituals, architecture reviews, demos, and dependency management.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","BL-001: DCA does not invoke DESIGN_SYSTEM_QUERY","","Blocked","","","Fix the DS availability query gap that currently blocks the full design-system guardrails vision.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","BL-026: Design system KB and guardrails","","Incoming","","","Add design-system guardrails, enforcement, and nearest-match guidance for DS-constrained generation.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","BL-027: Component library import","","Incoming","","","Support importing or scraping component libraries into the design-system workflow.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","BL-028: Multi-design-system switching","","Incoming","","","Support profiles and active switching across multiple design systems.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","BL-044: Dev Handoff Pack","","Incoming","","","Produce structured dev-facing handoff artifacts like specs, tokens, and component metadata.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","BL-046: Prompt-to-Flow","","Incoming","","","Build bounded prompt-driven flow and screen generation for workshop and demo use cases.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","BL-048: Research-to-Design Bridge","","Incoming","","","Create a path from research insights into design artifacts and assistant context.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","BL-049: Creative Micro-Tools","","Icebox","","","Explore optional micro-tools and idea accelerators for creative workflow support.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","PLAN: Design Workshop iteration","","Next Sprint","","","Advance the current Design Workshop iteration plan for fidelity, UX, scan loop, and toolbar improvements.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","PLAN: Dashboard reference match","","Next Sprint","","","Bring the dashboard demo preset and renderer into closer match with the Jazz reference design.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","PLAN: Design Workshop upgrade","","Incoming","","","Continue the broader Design Workshop upgrade path including command-center UX and bounded demo-safe generation.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","Assistant roadmap: Code2Design backlog triage","","Next Sprint","","","Define the near-term roadmap, rollout, and ownership for Code2Design within the Prompt↔Design↔Code portfolio.","Prompt↔Design↔Code Strike Force"
"Prompt↔Design↔Code Strike Force","Assistant roadmap: Dev Handoff assistant rollout","","Next Sprint","","","Define ownership and rollout sequencing for the Dev Handoff assistant and related deliverables.","Prompt↔Design↔Code Strike Force"
"ADA Strike Force","ADA bootstrap: Team charter and RACI","","Next Sprint","","","Define mission, scope, decision rights, and ownership boundaries for the ADA team.","ADA Strike Force"
"ADA Strike Force","ADA bootstrap: Dev environment and ACE access","","Next Sprint","","","Ensure the ADA team can run relevant plugin flows, use ACE, and access docs and configs.","ADA Strike Force"
"ADA Strike Force","ADA bootstrap: Roadmap and rollout plan","","Next Sprint","","","Create the ADA roadmap, milestones, rollout plan, and feedback loop.","ADA Strike Force"
"ADA Strike Force","ADA bootstrap: Marketing and resource-site update","","Next Sprint","","","Update ADA-specific positioning, docs, screenshots, and resource content.","ADA Strike Force"
"ADA Strike Force","ADA bootstrap: Meetings and review cadence","","Next Sprint","","","Establish standups, dependency review, demos, and retros for the ADA team.","ADA Strike Force"
"ADA Strike Force","ADA assistant backlog definition","","Next Sprint","","","Create a clean backlog slice for ADA work where the current repo backlog is still sparse.","ADA Strike Force"
"ADA Strike Force","ADA KB and HAT config ownership","","Incoming","","","Define ownership for ADA knowledge content and HAT-required component configuration.","ADA Strike Force"
"ADA Strike Force","ADA compliance workflow definition","","Incoming","","","Define review, acceptance, and compliance workflow for ADA-specific assistant output and guidance.","ADA Strike Force"
"Core Code Strike Force","BL-004: Display build/version number in Settings modal","","Next Sprint","","","Show plugin version and build in Settings using the actual build artifact values.","Core Code Strike Force"
"Core Code Strike Force","BL-054: Wire excluded test files into npm test","","Next Sprint","","","Add the currently excluded tests back into the main test command and fix or document any failures.","Core Code Strike Force"
"Core Code Strike Force","BL-007: Improve assistant accuracy and usefulness across all assistants","","Incoming","","","Improve scope clarity, usefulness, and response quality across the assistant portfolio.","Core Code Strike Force"
"Core Code Strike Force","BL-008: Create Figma-stage UI components aligned to plugin design direction","","Incoming","","","Build more cohesive plugin-stage UI components aligned to the product visual direction.","Core Code Strike Force"
"Core Code Strike Force","BL-005: Public HTML marketing website","","Incoming","","","Build or refine the static public marketing website for the plugin, docs, screenshots, and contact paths.","Core Code Strike Force"
"Core Code Strike Force","BL-012: ACE AI settings tab and Internal API activation","","Incoming","","","Improve ACE AI settings so Internal API can be activated without a forced test-connection gate.","Core Code Strike Force"
"Core Code Strike Force","BL-013: ACE Assistants wizard UX and docs","","Incoming","","","Improve the Assistants wizard and add discoverable How Assistants work documentation.","Core Code Strike Force"
"Core Code Strike Force","BL-014: ACE Design Systems UX improvements","","Incoming","","","Bring the Design Systems section UX up to the quality level of the stronger ACE surfaces.","Core Code Strike Force"
"Core Code Strike Force","BL-015: ACE roles and permissions","","Incoming","","","Add or harden Owner, Editor, and Reviewer role support in ACE.","Core Code Strike Force"
"Core Code Strike Force","BL-016: ACE versioning, backup, and revert","","Incoming","","","Add snapshots and backups, version history, user attribution, and revert support to ACE.","Core Code Strike Force"
"Core Code Strike Force","BL-017: ACE internal hosting guidance","","Incoming","","","Document and support secure internal hosting for the ACE workflow.","Core Code Strike Force"
"Core Code Strike Force","BL-018: ACE upgrade strategy and visible ACE build/version","","Incoming","","","Define an ACE upgrade strategy and expose build and version information in the ACE UI.","Core Code Strike Force"
"Core Code Strike Force","BL-019: ACE backlog page viewer/editor","","Incoming","","","Add a simple backlog viewer and editor page for backlog.md inside ACE.","Core Code Strike Force"
"Core Code Strike Force","BL-020: Full Plugin + LLM interaction audit","","Incoming","","","Produce a full audit of plugin and LLM interaction flow, request packaging, retries, limits, and errors.","Core Code Strike Force"
"Core Code Strike Force","BL-021: Editor-friendly assistant configuration model","","Incoming","","","Move toward a more structured and editor-friendly assistant configuration surface.","Core Code Strike Force"
"Core Code Strike Force","BL-022: Assistant query structure definition","","Incoming","","","Define a canonical JSON-style assistant query structure for prompts and context.","Core Code Strike Force"
"Core Code Strike Force","BL-023: KB structure standard","","Incoming","","","Standardize KB sections, quality, and structure across assistants.","Core Code Strike Force"
"Core Code Strike Force","BL-024: KB builder template","","Incoming","","","Provide a guided KB builder that outputs the canonical markdown and JSON structure.","Core Code Strike Force"
"Core Code Strike Force","BL-025: External KB import/parsing","","Incoming","","","Support import, preview, normalization, and approval flows for external KB content.","Core Code Strike Force"
"Core Code Strike Force","BL-029: Assistant test harness","","Incoming","","","Build a reusable prompt and test harness for assistant regression and evaluation.","Core Code Strike Force"
"Core Code Strike Force","BL-030: Automated LLM evaluation metrics","","Incoming","","","Add structured evaluation metrics for compliance, hallucination risk, and missing fields.","Core Code Strike Force"
"Core Code Strike Force","BL-031: Source control workflow","","Incoming","","","Define a safe OSS and internal fork or mirror workflow for config and code changes.","Core Code Strike Force"
"Core Code Strike Force","BL-032: Config isolation outside code dir","","Incoming","","","Separate editable config and data from code to reduce risk and improve portability.","Core Code Strike Force"
"Core Code Strike Force","BL-035: Assistant contribution intake","","Incoming","","","Define the intake process for new assistant configs, KBs, schema, and tests.","Core Code Strike Force"
